Alliance;Airline
Star Alliance;Adria Airways
Star Alliance;Aegean Airlines
Star Alliance;Air Canada
Star Alliance;Air China
Star Alliance;Air New Zealand
Star Alliance;All Nippon Airways
Star Alliance;Asiana Airlines
Star Alliance;Austrian Airlines
Star Alliance;Avianca
Star Alliance;Brussels Airlines
Star Alliance;Copa Airlines
Star Alliance;Croatia Airlines
Star Alliance;EgyptAir
Star Alliance;Ethiopian Airlines
Star Alliance;EVA Air
Star Alliance;LOT Polish Airlines
Star Alliance;Lufthansa
Star Alliance;Scandinavian Airlines
Star Alliance;Shenzhen Airlines
Star Alliance;Singapore Airlines
Star Alliance;South African Airways
Star Alliance;Swiss International Airlines
Star Alliance;TAP Air Portugal
Star Alliance;Thai Airways
Star Alliance;Turkish Airlines
Star Alliance;United Airlines
SkyTeam;Aeroflot
SkyTeam;Aerolineas Argentinas
SkyTeam;Aeromexico
SkyTeam;Air Europa
SkyTeam;Air France
SkyTeam;Alitalia
SkyTeam;China Airlines
SkyTeam;China Eastern Airlines
SkyTeam;China Southern Airlines
SkyTeam;CSA Czech Airlines
SkyTeam;Delta Airlines
SkyTeam;Garuda Indonesia
SkyTeam;Kenya Airways
SkyTeam;KLM
SkyTeam;Korean Air
SkyTeam;Middle East Airlines
SkyTeam;Saudia
SkyTeam;Tarom
SkyTeam;Vietnam Airlines
SkyTeam;Xiamen Airlines
One World;Air Berlin
One World;American Airlines
One World;British Airways
One World;Cathay Pacific
One World;Finnair
One World;Iberia
One World;Japan Airlines
One World;LATAM
One World;Malaysia Airlines
One World;Qantas
One World;Qatar Airways
One World;Royal Jordanian
One World;S7 Airlines
One World;SriLankan Airlines
;
